layer,acc_baseline,suppression_rate
0,0.61375,0.42
1,0.75625,0.2285
2,0.76375,0.234
3,0.77125,0.318
4,0.78125,0.2865
5,0.78375,0.3675
6,0.7775,0.438
7,0.78875,0.379
8,0.78875,0.449
9,0.7975,0.3785
10,0.80375,0.3325
11,0.7925,0.326
12,0.7925,0.3065
13,0.795,0.3795
14,0.815,0.4355
15,0.81875,0.46
16,0.8075,0.484
17,0.795,0.568
18,0.8125,0.524
19,0.80875,0.62
20,0.82125,0.6145
21,0.8075,0.619
22,0.8075,0.6285
23,0.79625,0.6715
24,0.80625,0.6425
25,0.80875,0.7355
26,0.795,0.741
27,0.795,0.709
28,0.795,0.787
29,0.7925,0.7875
30,0.8025,0.7985
31,0.8,0.822
32,0.82,0.7735
33,0.81875,0.728
34,0.82625,0.7345
35,0.83125,0.7445
36,0.8225,0.789
37,0.815,0.7695
38,0.8125,0.785
39,0.8175,0.808
40,0.8175,0.839
41,0.8125,0.8505
42,0.82625,0.849
43,0.8175,0.858
44,0.8275,0.8785
45,0.815,0.873
46,0.82,0.893
47,0.8225,0.9355
48,0.82,0.9465
49,0.825,0.941
50,0.82,0.9285
51,0.80875,0.938
52,0.8125,0.9105
53,0.81375,0.933
54,0.8275,0.937
55,0.8325,0.954
56,0.83125,0.9295
57,0.84125,0.9725
58,0.83625,0.9845
59,0.8425,0.983
60,0.85,0.9675
61,0.84375,0.972
62,0.84125,0.9645
63,0.8625,0.957
64,0.85625,0.953
65,0.86125,0.944
66,0.86,0.941
67,0.865,0.9495
68,0.8575,0.949
69,0.84375,0.9475
70,0.8475,0.9475
71,0.8575,0.967
72,0.87125,0.937
73,0.85375,0.9515
74,0.855,0.9565
75,0.86,0.963
76,0.8525,0.9395
77,0.84625,0.9335
78,0.85125,0.9355
79,0.84375,0.903
80,0.84625,0.6395
