layer,acc_baseline,suppression_rate
0,0.6925,0.2435
1,0.80375,0.1765
2,0.81875,0.183
3,0.80375,0.217
4,0.8,0.301
5,0.80125,0.2435
6,0.81,0.249
7,0.81875,0.294
8,0.79625,0.371
9,0.80875,0.3955
10,0.80625,0.5985
11,0.825,0.53
12,0.84625,0.69
13,0.855,0.6865
14,0.85625,0.7925
15,0.85,0.82
16,0.84875,0.608
17,0.855,0.712
18,0.8425,0.7945
19,0.8575,0.9175
20,0.84625,0.9025
21,0.855,0.863
22,0.86625,0.958
23,0.86875,0.9705
24,0.8675,0.9555
25,0.85625,0.9615
26,0.8575,0.9355
27,0.86375,0.877
28,0.85875,0.8755
29,0.85625,0.931
30,0.865,0.8795
31,0.85875,0.757
32,0.87375,0.8665
33,0.87375,0.8395
34,0.86125,0.8235
35,0.86375,0.8345
36,0.85375,0.6845
