layer,acc_baseline,suppression_rate
0,0.625,0.4
1,0.78375,0.207
2,0.7725,0.1775
3,0.77875,0.181
4,0.795,0.2905
5,0.79625,0.3325
6,0.77625,0.2705
7,0.78375,0.319
8,0.77625,0.3205
9,0.77125,0.353
10,0.80875,0.382
11,0.8025,0.3415
12,0.80375,0.3915
13,0.8075,0.412
14,0.815,0.6335
15,0.80625,0.636
16,0.805,0.62
17,0.83,0.661
18,0.83625,0.5315
19,0.83875,0.631
20,0.84,0.619
21,0.84125,0.7365
22,0.85125,0.711
23,0.84875,0.754
24,0.8375,0.878
25,0.84125,0.8285
26,0.83375,0.788
27,0.83875,0.781
28,0.83625,0.7865
29,0.8375,0.874
30,0.845,0.883
31,0.83375,0.81
32,0.83875,0.7605
33,0.8325,0.8205
34,0.84,0.801
35,0.8625,0.7265
36,0.86,0.8045
37,0.85375,0.892
38,0.84625,0.884
39,0.86375,0.8685
40,0.8625,0.9245
41,0.85,0.974
42,0.8475,0.9695
43,0.83625,0.9735
44,0.8525,0.9575
45,0.8575,0.8775
46,0.86375,0.9495
47,0.86,0.964
48,0.85875,0.93
49,0.85,0.919
50,0.85375,0.902
51,0.85375,0.899
52,0.85375,0.8855
53,0.8475,0.8675
54,0.84875,0.9295
55,0.84125,0.9405
56,0.85625,0.9115
57,0.8575,0.9195
58,0.85,0.9215
59,0.8525,0.949
60,0.84875,0.9165
61,0.85,0.899
62,0.86625,0.8905
63,0.8625,0.873
64,0.85625,0.6805
