layer,acc_baseline,suppression_rate
0,0.7231638418079096,0.2669683257918552
1,0.8192090395480226,0.19004524886877827
2,0.8305084745762712,0.09502262443438914
3,0.8248587570621468,0.09954751131221719
4,0.8248587570621468,0.1583710407239819
5,0.8305084745762712,0.30995475113122173
6,0.847457627118644,0.4230769230769231
7,0.8305084745762712,0.45475113122171945
8,0.8531073446327684,0.3167420814479638
9,0.847457627118644,0.4095022624434389
10,0.8361581920903954,0.6606334841628959
11,0.8248587570621468,0.7262443438914027
12,0.8305084745762712,0.7737556561085973
13,0.8305084745762712,0.7579185520361991
14,0.8305084745762712,0.8393665158371041
15,0.8361581920903954,0.8959276018099548
16,0.8418079096045198,0.7239819004524887
17,0.8700564971751412,0.7285067873303167
18,0.8587570621468926,0.8755656108597285
19,0.8418079096045198,0.8687782805429864
20,0.847457627118644,0.8552036199095022
21,0.8700564971751412,0.8167420814479638
22,0.8700564971751412,0.8257918552036199
23,0.8531073446327684,0.7828054298642534
24,0.8700564971751412,0.7126696832579186
