layer,acc_baseline,suppression_rate
0,0.605,0.539
1,0.8125,0.1745
2,0.81375,0.171
3,0.8175,0.18
4,0.81375,0.176
5,0.8275,0.243
6,0.82,0.2725
7,0.82,0.305
8,0.83125,0.3305
9,0.83875,0.3945
10,0.8425,0.38
11,0.8275,0.5205
12,0.8325,0.565
13,0.83625,0.456
14,0.8275,0.5895
15,0.8175,0.5545
16,0.8225,0.657
17,0.84125,0.818
18,0.84375,0.7965
19,0.85,0.812
20,0.84,0.832
21,0.8475,0.8805
22,0.85,0.818
23,0.855,0.871
24,0.85,0.8955
25,0.84375,0.8895
26,0.86625,0.8555
27,0.85375,0.8335
28,0.85125,0.81
29,0.83375,0.82
30,0.84625,0.83
31,0.8325,0.8675
32,0.84875,0.929
33,0.84,0.952
34,0.84875,0.931
35,0.87125,0.962
36,0.8775,0.978
37,0.88375,0.9855
38,0.86625,0.9865
39,0.865,0.9885
40,0.86375,0.9875
41,0.85625,0.9775
42,0.85125,0.978
43,0.855,0.9595
44,0.865,0.9685
45,0.86375,0.951
46,0.85625,0.9425
47,0.85125,0.908
48,0.86375,0.753
